Error: That port is already in use.
[06/May/2026 16:32:21] "GET / HTTP/1.1" 200 25316
[06/May/2026 16:32:23] "GET /notifications/unread-count/ HTTP/1.1" 200 1
[06/May/2026 16:32:23] "GET /service-worker.js HTTP/1.1" 200 409
[06/May/2026 16:32:23] "GET /static/manifest.json HTTP/1.1" 200 241
[06/May/2026 16:32:23] "GET / HTTP/1.1" 200 25316
[06/May/2026 16:32:24] "GET /notifications/ HTTP/1.1" 200 1505
[06/May/2026 16:41:03] "GET / HTTP/1.1" 200 25314
[06/May/2026 16:41:04] "GET /notifications/unread-count/ HTTP/1.1" 200 1
[06/May/2026 16:41:04] "GET /service-worker.js HTTP/1.1" 200 409
[06/May/2026 16:41:04] "GET /static/manifest.json HTTP/1.1" 200 241
[06/May/2026 16:41:04] "GET / HTTP/1.1" 200 25314
[06/May/2026 16:41:05] "GET /notifications/ HTTP/1.1" 200 1505
